School,City,Public or Private,Zip Code,Mental Health Services(Y/N),Student Enrollment,State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Highly Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Highly Proficient(%),Graduation Rate: 2023 (Cohort 2022) (%),Dropout Rate: 2023 (%),End of Year Promotion (%),College or Career Readiness (CCRI) Points,American Indian/ Alaska Native,Asian,Black,Hispanic,Native Hawaiian/ Pacific Islander,White,Two or More Races,Male,Female,Free lunch Eligible,Reduced-price Lunch eligible,Free lunch eligible by Direct Certification,Classroom Teachers (FTE), Student Teacher Ratio,Grade Levels,County,"Phoenix, AZ Metro Area High Schools Ranking - US News"
Tolleson Union High School,"Tolleson, AZ",Public ,85353,Yes,2256,49,29,19,3,44,34,18,3,91.81,2.4,97.06,16.6,27,29,214,1861,8,78,39,1146,1110,970,270,538,97.8,23.07,9-12,Maricopa,9882
Sierra Linda High School,"Tolleson, AZ",Public ,85353,Yes,1976,57,26,15,2,61,27,10,2,83.11,4.21,97.05,14.8,18,17,182,1649,12,71,26,1017,958,928,217,491,80.8,24.44,9-12,Maricopa,"13,260"
Valley Preparatory Academy,"Tempe, AZ",Public ,85282,NaN,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.88,80,NaN,0,0,2,9,0,12,0,13,10,24,0,0,NaN,NaN,9-12,Maricopa,NaN
The Early Career Academy,"Tempe, AZ",Public ,85248,No,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,0,3,5,1,9,1,17,5,NaN,NaN,NaN,NaN,NaN,11-12,Maricopa,NaN
The Aces-Tempe,"Tempe, AZ",Private,85281,No,130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,3,30,43,0,40,3,120,10,NaN,NaN,NaN,NaN,9,KG-12,Maricopa,NaN
Tempe Preparatory Academy,"Tempe, AZ",Public ,85283,Yes,443,8,12,50,31,13,26,33,28,89.66,NaN,99.3,20,5,31,7,123,2,237,38,208,235,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,1377
Tempe High School,"Tempe, AZ",Public ,85281,Yes,1582,33,37,25,5,44,32,20,4,79.94,3.91,96.79,17.1,58,17,191,1133,32,110,43,764,820,696,110,483,79.6,19.9,9-12,Maricopa,12505
Tapbi,"Tempe, AZ",Public ,85283,NaN,198,28,25,33,14,36,31,19,13,3.77,2.81,100,NaN,10,8,31,85,2,49,14,89,110,NaN,NaN,NaN,7.4,26.89,9-12,Maricopa,"13,261-17,680"
Student Choice High School,"Tempe, AZ",Public ,85281,NaN,1811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,14,186,1228,5,311,5,895,916,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,"13,261-17,680"
Pinnacle Virtual High School,"Tempe, AZ",Public ,85282,NaN,330,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,0,37,152,3,110,6,135,195,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,NaN
Pinnacle High School - Tempe,"Tempe, AZ",Public ,85282,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,NaN,NaN,0,1,2,20,0,0,2,16,9,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Pinnacle Charter High School,"Tempe, AZ",Public ,85283,No,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.75,NaN,NaN,0,0,0,45,0,0,0,21,24,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
New School for the Arts,"Tempe, AZ",Public ,85281,No,204,18,38,36,7,38,22,33,7,89.19,2.58,99.47,0,7,3,8,47,1,122,15,62,141,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,"13,261-17,680"
Mcclintock High School,"Tempe, AZ",Public ,85283,Yes,1947,32,26,24,18,33,29,22,17,84.11,3.66,97.73,19,89,45,268,945,34,469,99,964,985,604,97,468,89.6,21.75,9-12,Maricopa,6840
Marcos De Niza High School,"Tempe, AZ",Public ,85282,NaN,1517,37,28,25,9,45,34,15,6,77.05,3.92,95.23,16.9,177,35,145,827,10,262,63,772,747,501,106,344,81.83,18.56,9-12,Maricopa,9884
James Madison Preparatory School,"Tempe, AZ",Public ,85283,NaN,156,32,24,32,13,59,23,13,5,77.78,NaN,98.6,0,3,4,8,36,3,98,4,83,73,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,8841
International Commerce High School - Tempe,"Tempe, AZ",Public ,85282,NaN,253,61,33,5,1,64,26,9,1,40.12,17.23,81.38,34.6,16,0,24,163,3,33,14,136,117,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Integrity Education Centre,"Tempe, AZ",Public ,85281,No,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,4,11,0,32,3,32,20,10,3,NaN,NaN,NaN,1-12,Maricopa,NaN
Grand Canyon College Preparatory Charter School,"Tempe, AZ",Public ,85283,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,9,14,0,38,0,41,26,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,NaN
Edoptions Hs Learning Center,"Tempe, AZ",Public ,85282,Yes,542,63,25,12,0,72,20,6,2,12.94,17.73,63,35,3,7,23,207,38,248,5,254,277,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Corona Del Sol High School,"Tempe, AZ",Public ,85284,Yes,2730,14,18,39,29,16,25,25,34,93.93,0.84,98.5,20,69,188,141,815,13,1329,178,1369,1364,273,81,161,120.6,22.66,9-12,Maricopa,4167
Compadre High School,"Tempe, AZ",Public ,85283,NaN,411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,2,68,212,2,63,7,243,168,24,3,NaN,25,16.4,9-12,Maricopa,NaN
Chrysalis Academy Day School for Children with Aut,"Tempe, AZ",Private,85283,NaN,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,3,4,25,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,NaN
Willow Canyon High School,"Surprise, AZ",Public ,85374,No,1787,27,26,33,14,30,30,28,12,94.69,0.37,99.83,17.8,20,46,137,574,11,878,121,902,885,428,142,218,76.2,23.45,7-12,Maricopa,5187
West-Mec - Willow Canyon High School,"Surprise, AZ",Public ,85374,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,0,0,3,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
West-Mec - Valley Vista High School,"Surprise, AZ",Public ,85374,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,0,1,1,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
E-Institute at Surprise,"Surprise, AZ",Public ,85374,NaN,187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,3,10,99,1,63,6,94,93,84,22,NaN,NaN,NaN,9-12,Maricopa,NaN
Imagine Prep Surprise,"Surprise, AZ",Public ,85379,NaN,290,30,27,33,10,45,28,20,6,96.97,2.28,99.65,15.1,0,5,21,98,0,145,21,153,137,63,29,30,NaN,NaN,9-12,Maricopa,12785
Valley Vista High School,"Surprise, AZ",Public ,85374,Yes,2451,29,26,31,14,33,34,22,10,93.6,2.36,99.5,15.3,23,32,223,1185,8,842,151,1224,1240,837,246,421,102.2,24.11,7-12,Maricopa,6227
Dysart Ischool,"Surprise, AZ",Public ,85374,NaN,107,21,22,36,22,26,30,25,18,69.33,0.05,NaN,0,1,1,3,50,0,45,7,41,65,NaN,NaN,NaN,13,8.15,7-12,Maricopa,11246
Arizona Charter Academy,"Surprise, AZ",Public ,85374,NaN,978,44,20,28,9,36,22,28,14,NaN,NaN,99.69,NaN,0,7,92,667,2,167,47,496,486,540,108,289,NaN,NaN,KG-8,Maricopa,NaN
West-Mec - Horizon High School,"Scottsdale, AZ",Public,85254,Yes,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,2,0,0,11,0,7,6,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Ville De Marie Academy,"Scottsdale, AZ",Private,85257,No,222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,6,4,10,6,174,18,NaN,NaN,NaN,NaN,NaN,15.6,14.2,KG-12,Maricopa,NaN
The New Foundation-Marion Burton School,"Scottsdale, AZ",Private,85257,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,0,2,14,0,21,0,28,12,NaN,NaN,NaN,5,7,6-12,Maricopa,NaN
Sunrise Middle School,"Scottsdale, AZ",Public,85254,Yes,433,29,15,34,22,47,14,14,25,NaN,NaN,99.53,NaN,9,18,19,160,1,200,26,226,207,116,17,82,30.76,14.08,7-8,Maricopa,NaN
Scottsdale Online Learning,"Scottsdale, AZ",Public,85257,NaN,224,26,23,31,20,57,17,14,11,72.29,10.88,94.97,NaN,9,9,9,47,0,142,8,101,123,NaN,NaN,NaN,24,9.33,KG-12,Maricopa,"13,261-17,680"
Salt River High School,"Scottsdale, AZ",Public,85256,NaN,217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,185,0,0,31,0,0,1,104,113,89,3,NaN,NaN,NaN,7-12,Maricopa,NaN
Salt River Accelerated Learning Academy,"Scottsdale, AZ",Public,85256,NaN,74,81,5,14,0,90,10,0,0,9.52,36.97,79.69,31.1,63,0,0,11,0,0,0,45,29,25,0,23,NaN,NaN,9-12,Maricopa,NaN
Saguaro High School,"Scottsdale, AZ",Public,85250,Y,1466,19,22,34,25,21,24,28,27,91,0.99,99.3,19.9,64,46,101,339,7,861,48,732,734,278,87,123,69,21.31,9-12,Maricopa,2683
Notre Dame Preparatory,"Scottsdale, AZ",Private,85260,NaN,863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,23,10,94,8,721,5,NaN,NaN,NaN,NaN,NaN,66,13,9-12,Maricopa,NaN
Horizon High School,"Scottsdale, AZ",Public,85254,NaN,1912,8,20,41,31,16,27,30,27,94.81,0.99,98.8,18.1,17,45,38,275,8,1412,110,946,959,95,38,65,84,22.7,7-12,Maricopa,4862
Great Hearts Academies - Scottsdale Prep,"Scottsdale, AZ",Public,85260,NaN,875,9,20,52,20,14,24,31,30,96,7,99.76,19.9,1,136,5,94,1,596,42,421,454,NaN,NaN,NaN,NaN,NaN,5-12,Maricopa,3532
Great Hearts Academies - Cicero Prep,"Scottsdale, AZ",Public,85258,NaN,502,16,23,51,10,29,22,31,19,100,6.5,100,17.6,7,18,15,92,1,326,43,234,268,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,NaN
Gateway Academy,"Scottsdale, AZ",Private,85258,NaN,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,3,4,0,43,3,50,7,NaN,NaN,NaN,12,4,1-12,Maricopa,NaN
Foothills Academy Connected,"Scottsdale, AZ",Public,85266,NaN,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,13,0,4,9,NaN,NaN,NaN,NaN,NaN,7-12,Maricopa,NaN
Desert Mountain High School,"Scottsdale, AZ",Public,85259,Y,1880,7,18,38,37,14,19,30,37,95.27,1,98.7,20,18,218,60,176,6,1353,49,935,945,112,37,67,87,21.58,9-12,Maricopa,1215
Coronado High School,"Scottsdale, AZ",Public,85257,NaN,740,40,29,25,6,43,31,22,4,86.36,2.39,98.59,16.8,61,8,44,482,1,130,14,374,366,377,96,165,49,15.16,9-12,Maricopa,11001
Chaparral High School,"Scottsdale, AZ",Public,85253,Y,2038,9,25,41,25,14,25,27,34,95.65,0.47,99.01,20,7,137,53,223,7,1545,66,993,1045,101,20,64,90.4,22.54,9-12,Maricopa,2385
Cactus Shadows High School,"Scottsdale, AZ",Public,85266,NaN,1714,12,24,44,20,19,24,31,26,92.68,1.38,99.29,18.5,6,44,23,119,5,1507,10,861,853,115,21,NaN,66,25.9,9-12,Maricopa,2093
Brightmont Academy,"Scottsdale, AZ",Private,85254,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,2,4,0,45,0,NaN,NaN,NaN,NaN,NaN,12.8,4,5-12,Maricopa,NaN
Bella Vista College Prepratory School,"Scottsdale, AZ",Private,85266,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,17,5,0,53,0,NaN,NaN,NaN,NaN,NaN,9,8.9,7-12,Maricopa,NaN
Basis Scottsdale,"Scottsdale, AZ",Public,85259,Y,993,5,9,53,33,3,11,30,56,98.72,0,100,20,2,594,19,60,2,254,63,528,466,NaN,NaN,NaN,NaN,NaN,4-12,Maricopa,20
Arizona International Academy,"Scottsdale, AZ",Private,85254,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,1,0,0,3,0,6,4,NaN,NaN,NaN,1,6,4-9,Maricopa,NaN
Willie & Coy Payne Junior High School,"Queen Creek, AZ",Public,85142,NaN,1143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,43,42,214,3,768,54,611,532,91,34,36,55.76,20.5,7-8,Maricopa,NaN
Sossaman Middle School,"Queen Creek, AZ",Public,85142,NaN,1040,21,20,38,21,26,26,25,34,NaN,NaN,100,NaN,10,24,35,205,2,699,68,562,481,93,41,52,56,18.68,7-8,Maricopa,NaN
Queen Creek Virtual Academy,"Queen Creek, AZ",Public,85142,NaN,257,40,25,33,3,59,28,11,2,93.46,1.75,99.41,10.1,3,7,9,63,0,160,15,112,145,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,NaN
Queen Creek High School,"Queen Creek, AZ",Public,85142,NaN,2225,14,27,40,19,22,27,29,21,94.49,2.22,99.86,18.9,22,44,64,583,8,1422,90,1114,1119,223,111,108,99.8,22.37,9-12,Maricopa,3993
Heritage Academy Queen Creek,"Queen Creek, AZ",Public,85142,NaN,455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,6806
Dr. Camille Casteel High School,"Queen Creek, AZ",Public,85142,NaN,3140,20,25,40,15,28,25,26,20,93.62,1.25,99.68,17.2,14,74,92,589,8,2203,160,1536,1604,251,125,119,151,20.78,7-12,Maricopa,9964
Canyon State Academy,"Queen Creek, AZ",Private,85142,NaN,253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28,0,63,23,1,26,112,NaN,NaN,NaN,NaN,NaN,22,11.3,2-12,Maricopa,NaN
Benjamin Franklin High School,"Queen Creek, AZ",Public,85142,NaN,1235,24,23,38,16,30,22,27,21,95.6,1.53,99.92,17.9,4,33,31,208,3,896,60,624,611,NaN,NaN,NaN,NaN,NaN,7-12,Maricopa,NaN
American Leadership Academy - Queen Creek,"Queen Creek, AZ",Public,85142,NaN,2371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,15,45,437,4,1763,87,1199,1172,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,5799
Yeshiva High School of Arizona,"Phoenix, AZ",Private,85020,NaN,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,31,0,NaN,NaN,NaN,NaN,NaN,9,3.5,9-12,Maricopa,NaN
Xavier College Preparatory,"Phoenix, AZ",Private,85012,NaN,1122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,46,25,241,6,717,75,NaN,NaN,NaN,NaN,NaN,79,14.2,9-12,Maricopa,NaN
Westland School,"Phoenix, AZ",Public,85033,NaN,216,59,20,20,1,75,18,5,2,93.33,13.4,99.07,17,4,0,25,131,7,32,17,112,104,164,17,83,NaN,NaN,KG-12,Maricopa,NaN
Western School of Science and Technology,"Phoenix, AZ",Public,85033,NaN,522,60,22,15,2,72,19,7,2,94.81,0.98,100,19.4,2,0,7,509,0,4,0,245,277,370,88,101,NaN,NaN,7-12,Maricopa,4838
West-Mec - Washington High School,"Phoenix, AZ",Public,85021,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,2,0,0,0,0,0,2,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
West-Mec - Tonopah Valley High School,"Phoenix, AZ",Public,85354,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0,0,8,1,2,8,NaN,NaN,NaN,NaN,NaN,7-12,Maricopa,NaN
West-Mec - Thunderbird High School,"Phoenix, AZ",Public,85023,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,1,0,2,0,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
West-Mec - Sunnyslope High School,"Phoenix, AZ",Public,85021,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,2,0,0,3,0,2,3,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Carl Hayden High School,"Phoenix, AZ",Public,85009,NaN,2218,67,21,11,1,62,30,6,2,72.01,5.31,97.06,13.6,13,0,86,2079,0,28,11,1234,983,1884,177,573,115,19.28,9-12,Maricopa,12116
Central High School,"Phoenix, AZ",Public,85012,NaN,1901,57,24,18,2,61,27,9,3,70.71,6.12,96.18,16.1,119,44,290,1280,3,116,49,955,946,1672,76,611,115.5,16.46,9-12,Maricopa,11309
Children First Academy - Phoenix,"Phoenix, AZ",Public,85204,,100,70,17,12,0,84,9,5,2,NaN,NaN,99,,0,0,18,80,0,2,0,47,53,72,0,84,NaN,NaN,KG-8,Maricopa,NaN
Cornerstone Charter School,"Phoenix, AZ",Public,85021,,150,80,17,3,0,90,7,3,0,20.69,24.6,87.05,31.7,2,0,21,106,0,15,6,79,71,124,13,63,NaN,NaN,9-12,Maricopa,NaN
Cortez High School,"Phoenix, AZ",Public,85051,Yes,1104,38,32,26,5,40,36,20,3,84.1,1.5,99.01,19.6,51,60,136,668,2,155,32,569,535,684,110,396,53.8,20.52,9-12,Maricopa,7914
Crestview College Preparatory High School,"Phoenix, AZ",Public,85032,Yes,246,77,21,2,0,86,14,0,0,11.25,29.88,87.23,35,8,0,21,190,2,21,4,140,106,150,7,91,NaN,NaN,9-12,Maricopa,NaN
Crown Point High School,"Phoenix, AZ",Public,85301,Nan,35,73,18,9,0,75,17,0,8,22.22,11.29,65,35,0,0,2,33,0,0,0,24,11,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Cyber High School,"Phoenix, AZ",Public,85037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,NaN
Deer Valley Middle School,"Phoenix, AZ",Public,85027,No,538,58,18,19,4,79,11,8,2,NaN,NaN,100,NaN,19,6,47,256,4,183,22,263,274,279,69,149,57.2,9.39,7-8,Maricopa,317
Desert Foothills Middle School,"Phoenix, AZ",Public,85053,No,632,43,22,28,7,64,16,14,6,NaN,NaN,100,NaN,15,14,56,287,1,238,21,313,319,290,75,175,37.5,16.85,7-8,Maricopa,428
Desert Garden Montessori,"Phoenix, AZ",Private,85044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,6,7,28,93,5,29,NaN,NaN,NaN,NaN,NaN,43.4,4.1,PK-12,Maricopa,NaN
Desert Marigold School,"Phoenix, AZ",Public,85042,No,303,40,20,34,5,60,30,9,1,NaN,NaN,100,12.5,0,3,12,70,0,184,34,154,149,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,NaN
Desert Valleys Region,"Phoenix, AZ",Public,85021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PK-12,Maricopa,NaN
Desert Vista High School,"Phoenix, AZ",Public,85048,No,2953,7,19,46,28,13,23,32,32,94,1.34,99.11,20,59,197,202,742,7,1546,211,1530,1434,207,88,155,126.6,23.41,9-12,Maricopa,2801
Desert Voices Oral Learning Center,"Phoenix, AZ",Private,85028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,0,NaN,NaN,NaN,NaN,NaN,1.3,1.5,PK-KG,Maricopa,NaN
Durango Transitional Learning Center,"Phoenix, AZ",Public,85009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,NaN
E institute At Metro,"Phoenix, AZ",Public,85051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,NaN
E Institute At Union Hills,"Phoenix, AZ",Public,85308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,NaN
Franklin Police And Fire High School,"Phoenix, AZ",Public,85007,No,321,28,38,29,5,33,40,21,7,100,0,99.68,20,4,2,3,301,0,10,1,161,160,234,51,82,18.6,17.26,9-12,Maricopa,4163
Gateway Early College High School,"Phoenix, AZ",Public,85034,No,333,32,37,25,6,39,36,22,3,98.36,0.29,100,19.2,4,2,54,263,2,5,1,148,183,264,43,82,NaN,NaN,9-12,Maricopa,8646
Genesis Academy,"Phoenix, AZ",Public,85004,No,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,43.27,82.22,NaN,2,0,2,45,1,2,1,22,31,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Girls Leadership Academy Of Arizona,"Phoenix, AZ",Public,85013,NaN,74,47,47,7,0,81,19,0,0,82.35,9.17,98.53,16,1,1,5,57,0,7,3,0,74,59,6,22,NaN,NaN,9-12,Maricopa,13261
Glenview College Preparatory High School,"Phoenix, AZ",Public,85301,Yes,523,19,26,38,16,27,37,27,8,98.75,0.84,100,20,3,8,25,457,1,18,11,227,296,381,73,153,NaN,NaN,9-12,Maricopa,9164
Gompers Private School,"Phoenix, AZ",Private,85017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,2,5,3,0,0,NaN,NaN,NaN,NaN,NaN,2,5,6-12,Maricopa,NaN
Great Hearts Academies - Archway Veritas,"Phoenix, AZ",Public,85018,Yes,716,16,16,41,27,8,14,45,34,NaN,NaN,99.44,NaN,1,37,12,126,2,480,58,361,355,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,39
Great Hearts Academies - North Phoenix Prep,"Phoenix, AZ",Public,85032,No,522,11,15,57,17,22,22,35,21,95.12,9.82,96.44,18.3,3,61,16,116,1,296,29,235,287,NaN,NaN,NaN,NaN,NaN,KG-6,Maricopa,79
Great Hearts Academies - Teleos Prep,"Phoenix, AZ",Public,85018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,NaN
Great Hearts Academies - Veritas Prep,"Phoenix, AZ",Public,85018,No,802,16,20,51,14,21,23,31,25,98.48,0.69,98.48,18.1,3,44,20,178,5,498,53,374,427,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,5303
"Greenway, High School","Phoenix, AZ",Public,85053,Yes,1346,22,27,35,15,30,37,20,14,91.07,0.97,98.22,20,25,51,98,555,3,568,48,694,654,417,121,258,68.8,19.59,9-12,Maricopa,4254
Greenway Middle School,"Phoenix, AZ",Public,85032,Yes,418,64,17,16,3,79,12,6,3,NaN,NaN,100,NaN,10,2,20,353,0,26,8,218,201,263,46,125,25.17,16.65,7-8,Maricopa,456
Hi-star Center For Children,"Phoenix, AZ",Private,85019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,NaN
Holy Cross Lutheran School,"Phoenix, AZ",Private,85023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,4,3,0,0,NaN,NaN,NaN,NaN,NaN,1.1,6.4,KG-4-9,Maricopa,NaN
Hope High School,"Phoenix, AZ",Public,85043,Yes,141,83,12,5,0,82,18,0,0,27.59,19.82,77.84,31.8,5,2,28,97,0,8,1,79,62,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Horizon Community Learning Center,"Phoenix, AZ",Public,85048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,NaN
Humanities And Sciences High School - Phoenix,"Phoenix, AZ",Public,85040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,331
Intelli-school- Metro Center,"Phoenix, AZ",Public,85029,Yes,54,73,20,7,0,62,31,6,0,13.79,29.08,75,35,2,3,2,28,0,18,0,28,25,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Intelli-school- Paradise Valley,"Phoenix, AZ",Public,85022,Yes,62,54,23,23,0,54,46,0,0,9.38,24.43,89.47,33.6,0,0,0,30,0,30,2,27,35,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
