School,City,Public or Private,Zip Code,Mental Health Services(Y/N),Student Enrollment,State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Highly Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Highly Proficient(%),Graduation Rate: 2023 (Cohort 2022) (%),Dropout Rate: 2023 (%),End of Year Promotion (%),College or Career Readiness (CCRI) Points,American Indian/ Alaska Native,Asian,Black,Hispanic,Native Hawaiian/ Pacific Islander,White,Two or More Races,Male,Female,Free lunch Eligible,Reduced-price Lunch eligible,Free lunch eligible by Direct Certification,Classroom Teachers (FTE), Student Teacher Ratio,Grade Levels,County,"Phoenix, AZ Metro Area High Schools Ranking - US News"
"Desert Edge High School","Goodyear, AZ",Public,85338,NaN,1993,36,28,30,6,47,31,16,6,93.48,2.62,99.29,16,11,53,263,1150,11,408,95,1042,949,756,258,307,84.3,23.62,9-12,Maricopa,77
"Estrella Foothills High School","Goodyear, AZ",Public,85338,Y,1398,26,30,35,10,29,29,29,13,95.54,1.35,99.7,19,12,13,68,644,5,596,60,701,697,52,26.88,279,111,137,9-12,Maricopa,72
"Great Hearts Academies - Archway Trivium West","Goodyear, AZ",Public,85395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Great Hearts Academies - Trivium Prep","Goodyear, AZ",Public,85395,NaN,894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,89,55,316,7,355,69,452,442,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,NaN
"Millennium High School","Goodyear, AZ",Public,85395,NaN,2121,18,25,39,17,34,26,23,17,93.75,1.05,99.14,18.3,3,89,55,316,7,355,69,452,442,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,37
"West-Mec - Desert Edge High School","Goodyear, AZ",Public,85034,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,0,0,3,2,4,3,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
West-Mec - Estrella Foothills High School,"Goodyear, AZ",Public,85338,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,0,0,2,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
West-Mec - Millennium High School,"Goodyear, AZ",Public,85338,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,3,0,0,7,0,3,8,NaN,NaN,NaN,NaN,NaN,7-12,Maricopa,NaN
"Williams Field High School","Highley, AZ",Public,85236,NaN,2115,15,23,38,23,17,24,31,27,97,1.05,99.39,18.4,24,99,165,490,11,1179,147,1103,1102,274,105,150,98.65,21.44,8-12,Maricopa,51
"Betty Fairfax High School","Laveen, AZ",Public,85339,NaN,1973,46,29,21,4,46,32,17,5,80.1,4.02,97.71,16.1,138,42,408,1160,9,149,67,970,1003,966,177,458,90,21.92,9-12,Maricopa,122
"Cesar Chavez High School","Laveen, AZ",Public,85339,NaN,2724,62,22,15,2,61,28,10,2,80.31,3.19,97.67,14.3,78,30,393,2055,9,96,64,1351,1374,1444,245,709,126.94,21.47,9-12,Maricopa,108
Country Gardens Charter School,"Laveen, AZ",Public,85339,Y,322,54,22,19,5,53,29,12,6,100,11.32,98.36,20,5,2,34,179,0,88,10,156,162,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,NaN
