,index,School,City,Zip Code,Student Enrollment,State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Highly Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Highly Proficient(%),End of Year Promotion (%),American Indian/ Alaska Native,Asian,Black,Hispanic,Native Hawaiian/ Pacific Islander,White,Two or More Races,Male,Female,Grade Levels,County,School Type,Anthem,Avondale,Buckeye,Chandler,El Mirage,Fountain Hills,Gila Bend,Gilbert,Glendale,Goodyear,Highley,Laveen,Mesa,Peoria,Phoenix,Queen Creek,Scottsdale,Surprise,Tempe,Tolleson,Tonopah,Wickenburg
38,58,Gilbert High School,Gilbert,85234,2350,25.0,29.0,33.0,14.0,31.0,28.0,26.0,16.0,98.02,34,87,90,737,9,1261,136,1214,1140,15,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,59,Ironwood High School,Glendale,85304,1922,25.0,30.0,33.0,12.0,34.0,32.0,22.0,13.0,99.51,14,84,131,825,9,756,103,963,959,15,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,62,"Mountain Ridge High School",Glendale,85310,2770,17.0,27.0,37.0,19.0,21.0,28.0,27.0,24.0,99.52,5,339,59,361,11,1868,128,1412,1359,15,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,63,"Ombudsman - Charter West",Glendale,85308,118,74.0,11.0,11.0,5.0,85.0,15.0,0.0,0.0,71.29,0,1,17,39,1,59,1,68,50,17,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,64,"Raymond S. Kellis",Glendale,85305,1818,34.0,34.0,28.0,4.0,40.0,34.0,18.0,8.0,99.07,23,78,161,1055,7,425,68,884,933,15,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,65,"Sandra Day O'Connor High School",Glendale,85310,2566,16.0,32.0,37.0,15.0,21.0,33.0,26.0,20.0,99.73,16,148,64,351,4,1892,92,1315,1252,15,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,79,"Westland School Brighton Campus",Glendale,85305,320,49.0,21.0,22.0,8.0,51.0,26.0,18.0,5.0,97.98,9,2,48,164,8,74,15,162,158,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,82,"Desert Edge High School",Goodyear,85338,1993,36.0,28.0,30.0,6.0,47.0,31.0,16.0,6.0,99.29,11,53,263,1150,11,408,95,1042,949,17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,83,"Estrella Foothills High School",Goodyear,85338,1398,26.0,30.0,35.0,10.0,29.0,29.0,29.0,13.0,99.7,12,13,68,644,5,596,60,701,697,17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,86,"Millennium High School",Goodyear,85395,2121,18.0,25.0,39.0,17.0,34.0,26.0,23.0,17.0,99.14,3,89,55,316,7,355,69,452,442,12,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,90,"Williams Field High School",Highley,85236,2115,15.0,23.0,38.0,23.0,17.0,24.0,31.0,27.0,99.39,24,99,165,490,11,1179,147,1103,1102,16,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,91,"Betty Fairfax High School",Laveen,85339,1973,46.0,29.0,21.0,4.0,46.0,32.0,17.0,5.0,97.71,138,42,408,1160,9,149,67,970,1003,17,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,92,"Cesar Chavez High School",Laveen,85339,2724,62.0,22.0,15.0,2.0,61.0,28.0,10.0,2.0,97.67,78,30,393,2055,9,96,64,1351,1374,17,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,93,Country Gardens Charter School,Laveen,85339,322,54.0,22.0,19.0,5.0,53.0,29.0,12.0,6.0,98.36,5,2,34,179,0,88,10,156,162,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,94,"Heritage Academy Laveen",Laveen,85339,650,33.0,24.0,36.0,7.0,48.0,29.0,16.0,7.0,99.37,5,23,52,351,4,191,24,317,333,12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,95,Academy with Community Partners,Mesa,85203,171,77.0,21.0,2.0,0.0,70.0,30.0,0.0,0.0,83.58,10,3,13,93,0,43,9,89,82,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,97,Asu Preparatory Academy-Polytechnic High School,Mesa,85215,457,15.0,21.0,40.0,24.0,24.0,26.0,25.0,24.0,99.54,12,20,30,204,2,164,26,272,186,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,98,"Basis Mesa",Mesa,85212,837,8.0,12.0,54.0,26.0,10.0,23.0,37.0,30.0,99.76,4,260,49,151,0,314,62,450,390,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,102,Dobson High School,Mesa,85202,2370,46.0,23.0,25.0,6.0,51.0,27.0,16.0,5.0,97.74,145,55,190,1251,34,622,73,1201,1169,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,103,Eagleridge Enrichment Program,Mesa,85210,645,30.0,22.0,30.0,17.0,43.0,9.0,39.0,9.0,100.0,1,16,11,91,0,499,26,324,320,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58,104,East Valley Academ,Mesa,85201,307,83.0,17.0,0.0,0.0,83.0,17.0,0.0,0.0,81.69,24,0,13,230,2,33,5,156,151,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,105,East Valley High School,Mesa,85207,156,64.0,20.0,13.0,2.0,74.0,19.0,6.0,0.0,98.81,4,1,10,81,0,48,11,85,70,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,107,Franklin Junior High School,Mesa,85206,269,1.0,9.0,45.0,44.0,6.0,13.0,32.0,49.0,100.0,6,4,3,64,0,187,5,114,155,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,108,"Fremont Junior High School",Mesa,85205,986,38.0,22.0,30.0,10.0,37.0,19.0,21.0,23.0,100.0,12,8,35,384,4,511,30,539,445,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,109,"Heritage Academy",Mesa,85210,782,13.0,22.0,47.0,17.0,26.0,27.0,32.0,15.0,98.69,2,3,5,204,3,551,14,372,410,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,110,Highland Jr High School,Mesa,85212,979,26.0,21.0,36.0,17.0,35.0,18.0,22.0,26.0,100.0,19,34,24,210,6,628,58,498,481,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,111,"Imagine East Mesa Middle School",Mesa,85208,120,32.0,22.0,38.0,8.0,44.0,27.0,19.0,9.0,100.0,0,1,7,52,0,48,12,64,56,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,112,Kino Junior High School,Mesa,85203,915,69.0,18.0,12.0,1.0,87.0,10.0,3.0,0.0,96.36,61,0,46,702,3,79,23,455,459,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,113,Learning Foundation,Mesa,85203,190,69.0,16.0,14.0,2.0,60.0,19.0,19.0,2.0,94.35,1,1,18,111,0,44,15,89,101,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,115,"Mesa Academy for Advanced Studies",Mesa,85207,409,1.0,5.0,46.0,48.0,4.0,14.0,39.0,43.0,100.0,4,11,9,86,0,276,24,218,192,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
